Ticker,Company,Sector,Industry,Market Cap,Year,Basic EPS,Free Cash Flow,P/E Ratio,Share Price
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,403976519680,2024,2.4,17832000000.0,71.5402094523112,171.69650268554688
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,403976519680,2023,2.753773,22062000000.0,52.45673253235482,144.4539337158203
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,403976519680,2022,6.6901,24248000000.0,21.643014312747333,144.79393005371094
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,403976519680,2021,6.527034,21990000000.0,17.888991300391478,116.76205444335938
ACN,Accenture plc,Technology,Information Technology Services,154501398528,2024,11.57,8614518000.0,29.020739714441984,335.76995849609375
ACN,Accenture plc,Technology,Information Technology Services,154501398528,2023,10.9,8996096000.0,28.703179315689507,312.8646545410156
ACN,Accenture plc,Technology,Information Technology Services,154501398528,2022,10.87,8823131000.0,25.234847783823025,274.30279541015625
ACN,Accenture plc,Technology,Information Technology Services,154501398528,2021,9.31,8395016000.0,33.963491273873856,316.2001037597656
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,9556837376,2024,3.627859,473800000.0,18.52250928218355,67.19705200195312
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,9556837376,2023,3.685702,597700000.0,21.68513200123261,79.92493438720703
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,9556837376,2022,1.559078,321100000.0,34.95034532181365,54.49031448364258
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,9556837376,2021,3.089705,566000000.0,25.963784923218043,80.2204360961914
MMM,3M Company,Industrials,Conglomerates,88836767744,2024,7.58,638000000.0,16.786589408612816,127.24234771728516
MMM,3M Company,Industrials,Conglomerates,88836767744,2023,-12.63,5065000000.0,-6.894543693826392,87.07808685302734
MMM,3M Company,Industrials,Conglomerates,88836767744,2022,10.21,3842000000.0,8.82232172832433,90.0759048461914
MMM,3M Company,Industrials,Conglomerates,88836767744,2021,10.23,5851000000.0,12.511892309403256,127.99665832519531
ABT,Abbott Laboratories,Healthcare,Medical Devices,222691721216,2024,7.739225,6351000000.0,14.343375086738538,111.00660705566406
