Date,Ticker,P/E Ratio,Basic EPS,Free Cash Flow,Operating Cash Flow,Investing Cash Flow,Dividends,Net Income,Diluted EPS,Share Price,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Basic Average Shares,Diluted Average Shares
2024,AAPL,37.957548900048586,6.11,108807000000.0,118254000000.0,2935000000.0,0.25,93736000000.0,6.08,231.92062377929688,364980000000.0,308030000000.0,56950000000.0,15343783000.0,15408095000.0
2023,AAPL,27.524232245110845,6.16,99584000000.0,110543000000.0,3705000000.0,0.24,96995000000.0,6.13,169.5492706298828,352583000000.0,290437000000.0,62146000000.0,15744231000.0,15812547000.0
2022,AAPL,22.122328843527693,6.15,111443000000.0,122151000000.0,-22354000000.0,0.23,99803000000.0,6.11,136.0523223876953,352755000000.0,302083000000.0,50672000000.0,16215963000.0,16325819000.0
2021,AAPL,24.431188943314595,5.67,92953000000.0,104038000000.0,-14545000000.0,0.22,94680000000.0,5.61,138.52484130859375,351002000000.0,287912000000.0,63090000000.0,16701272000.0,16864919000.0
AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.,Apple Inc.
Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology
3851096162304,3851096162304,3851096162304,3851096162304,3851096162304,3851096162304,3851096162304,3851096162304,3851096162304,3851096162304,3851096162304,3851096162304,3851096162304,3851096162304,3851096162304,3851096162304
259.501,259.501,259.501,259.501,259.501,259.501,259.501,259.501,259.501,259.501,259.501,259.501,259.501,259.501,259.501,259.501
2025,MSFT,36.247712295420854,13.7,71611000000.0,136162000000.0,-72599000000.0,0.83,101832000000.0,13.64,496.5936584472656,619003000000.0,275524000000.0,343479000000.0,7433000000.0,7465000000.0
2024,MSFT,37.33738196438923,11.86,74071000000.0,118548000000.0,-96970000000.0,0.75,88136000000.0,11.8,442.82135009765625,512163000000.0,243686000000.0,268477000000.0,7431000000.0,7469000000.0
2023,MSFT,34.4419283140834,9.72,59475000000.0,87582000000.0,-22680000000.0,0.68,72361000000.0,9.68,334.7755432128906,411976000000.0,205753000000.0,206223000000.0,7446000000.0,7472000000.0
2022,MSFT,25.77992862032861,9.7,65149000000.0,89035000000.0,-30311000000.0,0.62,72738000000.0,9.65,250.0653076171875,364840000000.0,198298000000.0,166542000000.0,7496000000.0,7540000000.0
MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
Microsoft Corporation,Microsoft Corporation,Microsoft Corporation,Microsoft Corporation,Microsoft Corporation,Microsoft Corporation,Microsoft Corporation,Microsoft Corporation,Microsoft Corporation,Microsoft Corporation,Microsoft Corporation,Microsoft Corporation,Microsoft Corporation,Microsoft Corporation,Microsoft Corporation,Microsoft Corporation
Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology,Technology
3837074866176,3837074866176,3837074866176,3837074866176,3837074866176,3837074866176,3837074866176,3837074866176,3837074866176,3837074866176,3837074866176,3837074866176,3837074866176,3837074866176,3837074866176,3837074866176
516.21,516.21,516.21,516.21,516.21,516.21,516.21,516.21,516.21,516.21,516.21,516.21,516.21,516.21,516.21,516.21
2024,GOOGL,23.208469892926466,8.13,72764000000.0,125299000000.0,-45536000000.0,0.2,100118000000.0,8.04,188.6848602294922,450256000000.0,125172000000.0,325084000000.0,12319000000.0,12447000000.0
2023,GOOGL,23.755674492822934,5.84,69495000000.0,101746000000.0,-27063000000.0,0.0,73795000000.0,5.8,138.73313903808594,402392000000.0,119013000000.0,283379000000.0,12630000000.0,12722000000.0
2022,GOOGL,19.090553566261576,4.59,60010000000.0,91495000000.0,-20298000000.0,0.0,59972000000.0,4.56,87.62564086914062,365264000000.0,109120000000.0,256144000000.0,13063000000.0,13159000000.0
2021,GOOGL,25.265154019547715,5.694,67012000000.0,91652000000.0,-35523000000.0,0.0,76033000000.0,5.61,143.8597869873047,359268000000.0,107633000000.0,251635000000.0,13353000000.0,13553480000.0
GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Alphabet Inc.,Alphabet Inc.,Alphabet Inc.,Alphabet Inc.,Alphabet Inc.,Alphabet Inc.,Alphabet Inc.,Alphabet Inc.,Alphabet Inc.,Alphabet Inc.,Alphabet Inc.,Alphabet Inc.,Alphabet Inc.,Alphabet Inc.,Alphabet Inc.,Alphabet Inc.
Communication Services,Communication Services,Communication Services,Communication Services,Communication Services,Communication Services,Communication Services,Communication Services,Communication Services,Communication Services,Communication Services,Communication Services,Communication Services,Communication Services,Communication Services,Communication Services
3098026967040,3098026967040,3098026967040,3098026967040,3098026967040,3098026967040,3098026967040,3098026967040,3098026967040,3098026967040,3098026967040,3098026967040,3098026967040,3098026967040,3098026967040,3098026967040
255.94,255.94,255.94,255.94,255.94,255.94,255.94,255.94,255.94,255.94,255.94,255.94,255.94,255.94,255.94,255.94
2024,AMZN,38.761483991103965,5.66,32878000000.0,115877000000.0,-94342000000.0,0.0,59248000000.0,5.53,219.38999938964844,624894000000.0,338924000000.0,285970000000.0,10473000000.0,10721000000.0
2023,AMZN,51.505085573358045,2.95,32217000000.0,84946000000.0,-49833000000.0,0.0,30425000000.0,2.9,151.94000244140625,527854000000.0,325979000000.0,201875000000.0,10304000000.0,10492000000.0
2022,AMZN,-311.1111111111111,-0.27,-16893000000.0,46752000000.0,-37601000000.0,0.0,-2722000000.0,-0.27,84.0,462675000000.0,316632000000.0,146043000000.0,10189000000.0,10189000000.0
2021,AMZN,50.5509385200903,3.298,-14726000000.0,46327000000.0,-58154000000.0,0.0,33364000000.0,3.2405,166.7169952392578,420549000000.0,282304000000.0,138245000000.0,10120000000.0,10300000000.0
AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN
"Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc.","Amazon.com, Inc."
Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical,Consumer Cyclical
2294662561792,2294662561792,2294662561792,2294662561792,2294662561792,2294662561792,2294662561792,2294662561792,2294662561792,2294662561792,2294662561792,2294662561792,2294662561792,2294662561792,2294662561792,2294662561792
215.16,215.16,215.16,215.16,215.16,215.16,215.16,215.16,215.16,215.16,215.16,215.16,215.16,215.16,215.16,215.16
