Metric,Ticker,Year,Value
Date,AAPL,Year 4,2024
Ticker,AAPL,Year 4,AAPL
P/E Ratio,AAPL,Year 4,37.957551397395406
Basic EPS,AAPL,Year 4,6.11
Free Cash Flow,AAPL,Year 4,108807000000.0
Operating Cash Flow,AAPL,Year 4,118254000000.0
Investing Cash Flow,AAPL,Year 4,2935000000.0
Dividends,AAPL,Year 4,0.25
Net Income,AAPL,Year 4,93736000000.0
Diluted EPS,AAPL,Year 4,6.08
Share Price,AAPL,Year 4,231.92063903808594
Total Assets,AAPL,Year 4,364980000000.0
Total Liabilities Net Minority Interest,AAPL,Year 4,308030000000.0
Total Equity Gross Minority Interest,AAPL,Year 4,56950000000.0
Basic Average Shares,AAPL,Year 4,15343783000.0
Diluted Average Shares,AAPL,Year 4,15408095000.0
Date,AAPL,Year 3,2023
Ticker,AAPL,Year 3,AAPL
P/E Ratio,AAPL,Year 3,27.524234722186993
Basic EPS,AAPL,Year 3,6.16
Free Cash Flow,AAPL,Year 3,99584000000.0
Operating Cash Flow,AAPL,Year 3,110543000000.0
Investing Cash Flow,AAPL,Year 3,3705000000.0
Dividends,AAPL,Year 3,0.24
Net Income,AAPL,Year 3,96995000000.0
Diluted EPS,AAPL,Year 3,6.13
Share Price,AAPL,Year 3,169.54928588867188
Total Assets,AAPL,Year 3,352583000000.0
Total Liabilities Net Minority Interest,AAPL,Year 3,290437000000.0
Total Equity Gross Minority Interest,AAPL,Year 3,62146000000.0
Basic Average Shares,AAPL,Year 3,15744231000.0
Diluted Average Shares,AAPL,Year 3,15812547000.0
Date,AAPL,Year 2,2022
Ticker,AAPL,Year 2,AAPL
P/E Ratio,AAPL,Year 2,22.12233380573552
Basic EPS,AAPL,Year 2,6.15
Free Cash Flow,AAPL,Year 2,111443000000.0
Operating Cash Flow,AAPL,Year 2,122151000000.0
Investing Cash Flow,AAPL,Year 2,-22354000000.0
Dividends,AAPL,Year 2,0.23
Net Income,AAPL,Year 2,99803000000.0
Diluted EPS,AAPL,Year 2,6.11
Share Price,AAPL,Year 2,136.05235290527344
Total Assets,AAPL,Year 2,352755000000.0
Total Liabilities Net Minority Interest,AAPL,Year 2,302083000000.0
Total Equity Gross Minority Interest,AAPL,Year 2,50672000000.0
Basic Average Shares,AAPL,Year 2,16215963000.0
Diluted Average Shares,AAPL,Year 2,16325819000.0
Date,AAPL,Year 1,2021
Ticker,AAPL,Year 1,AAPL
P/E Ratio,AAPL,Year 1,24.431194325603506
Basic EPS,AAPL,Year 1,5.67
